region,product,sales,revenue,quarter,year
North,Laptop,150,225000,Q1,2023
North,Phone,320,160000,Q1,2023
North,Tablet,85,42500,Q1,2023
South,Laptop,180,270000,Q1,2023
South,Phone,290,145000,Q1,2023
South,Tablet,110,55000,Q1,2023
East,Laptop,120,180000,Q1,2023
East,Phone,250,125000,Q1,2023
East,Tablet,75,37500,Q1,2023
West,Laptop,200,300000,Q1,2023
West,Phone,380,190000,Q1,2023
West,Tablet,95,47500,Q1,2023
North,Laptop,165,247500,Q2,2023
North,Phone,340,170000,Q2,2023
North,Tablet,90,45000,Q2,2023
South,Laptop,195,292500,Q2,2023
South,Phone,310,155000,Q2,2023
South,Tablet,120,60000,Q2,2023
East,Laptop,135,202500,Q2,2023
East,Phone,270,135000,Q2,2023
East,Tablet,80,40000,Q2,2023
West,Laptop,210,315000,Q2,2023
West,Phone,400,200000,Q2,2023
West,Tablet,105,52500,Q2,2023
North,Laptop,170,255000,Q3,2023
North,Phone,360,180000,Q3,2023
North,Tablet,100,50000,Q3,2023
South,Laptop,210,315000,Q3,2023
South,Phone,330,165000,Q3,2023
South,Tablet,130,65000,Q3,2023
East,Laptop,145,217500,Q3,2023
East,Phone,280,140000,Q3,2023
East,Tablet,85,42500,Q3,2023
West,Laptop,220,330000,Q3,2023
West,Phone,420,210000,Q3,2023
West,Tablet,115,57500,Q3,2023
North,Laptop,175,262500,Q4,2023
North,Phone,380,190000,Q4,2023
North,Tablet,110,55000,Q4,2023
South,Laptop,225,337500,Q4,2023
South,Phone,350,175000,Q4,2023
South,Tablet,140,70000,Q4,2023
East,Laptop,155,232500,Q4,2023
East,Phone,300,150000,Q4,2023
East,Tablet,95,47500,Q4,2023
West,Laptop,230,345000,Q4,2023
West,Phone,440,220000,Q4,2023
West,Tablet,125,62500,Q4,2023
